Age,Weight,MetColor,Price
42.0,1080,1.0,13950
38.0,1040,0.0,10950
44.0,1103,1.0,12950
40.0,1080,1.0,12850
35.0,1075,1.0,13995
39.0,1055,1.0,13750
37.0,1075,1.0,12750
41.0,1045,1.0,12500
43.0,1055,0.0,13950
39.0,1025,1.0,11500
44.0,1060,1.0,13950
41.0,1060,0.0,11895
44.0,1025,1.0,9950
42.0,1040,1.0,13500
37.0,1025,1.0,11450
42.0,1075,1.0,12450
40.0,1080,1.0,12950
44.0,1080,1.0,13995
42.0,1025,0.0,11750
39.0,1060,1.0,11650
43.0,1030,0.0,9950
41.0,1075,1.0,13950
44.0,1080,1.0,12950
38.0,1025,1.0,10950
42.0,1025,1.0,9900
44.0,1075,0.0,11950
40.0,1090,0.0,11990
36.0,1075,1.0,10750
44.0,1040,1.0,11250
39.0,1075,1.0,12950
41.0,1075,1.0,11950
42.0,1025,1.0,10950
33.0,1075,1.0,12950
35.0,1075,1.0,12950
43.0,1075,1.0,11695
55.67215568862275,1080,1.0,13950
38.0,1075,0.0,11950
40.0,1040,1.0,11750
34.0,1060,1.0,12400
35.0,1040,0.0,12500
33.0,1075,1.0,12900
41.0,1045,0.0,12200
43.0,1040,1.0,12750
42.0,1075,1.0,11950
41.0,1075,1.0,11900
42.0,1055,1.0,14950
41.0,1060,1.0,11950
33.0,1075,1.0,12950
41.0,1090,0.0,14950
40.0,1040,1.0,13450
38.0,1075,1.0,13750
43.0,1040,1.0,12950
33.0,1075,1.0,12750
39.0,1060,1.0,11895
42.0,1060,1.0,9950
38.0,1075,1.0,12450
38.0,1060,1.0,12500
43.0,1045,1.0,14950
39.0,1080,1.0,13750
55.67215568862275,1055,1.0,14990
43.0,1080,1.0,12750
41.0,1030,1.0,14350
39.0,1040,1.0,12950
35.0,1025,0.0,11500
41.0,1025,1.0,11950
40.0,1075,1.0,13450
38.0,1075,1.0,12900
41.0,1035,1.0,10500
35.0,1025,0.0,10950
41.0,1025,0.0,11950
37.0,1030,1.0,11450
44.0,1080,1.0,13250
39.0,1030,0.0,10250
35.0,1075,1.0,13995
40.0,1060,0.0,11950
33.0,1085,1.0,13250
40.0,1080,1.0,12950
38.0,1060,1.0,11750
39.0,1075,1.0,11500
43.0,1060,1.0,13500
53.0,1110,0.0,6500
51.0,1095,0.0,6400
53.0,1105,0.0,7000
45.0,1095,1.0,8900
55.0,1075,1.0,8500
51.0,1080,1.0,9900
48.0,1119,0.0,9250
48.0,1110,1.0,7750
55.67215568862275,1095,1.0,9450
49.0,1075,1.0,9950
56.0,1110,0.0,4450
50.0,1055,0.0,9950
48.0,1080,1.0,9000
53.0,1110,1.0,9950
55.0,1035,1.0,10500
54.0,1035,1.0,10750
53.0,1025,1.0,8950
49.0,1060,0.0,10950
55.67215568862275,1025,1.0,9450
54.0,1075,1.0,9950
47.0,1080,1.0,11900
50.0,1060,1.0,9950
54.0,1080,0.0,11950
50.0,1035,1.0,7900
52.0,1055,1.0,10950
51.0,1080,0.0,11950
49.0,1045,1.0,10900
55.0,1080,0.0,9950
54.0,1080,1.0,10950
55.0,1015,1.0,8950
49.0,1055,1.0,10500
53.0,1025,0.0,8950
48.0,1060,1.0,11500
52.0,1075,0.0,9750
45.0,1040,1.0,9950
49.0,1045,0.0,11450
54.0,1075,0.0,12500
50.0,1075,0.0,10500
50.0,1075,1.0,12950
50.0,1040,1.0,12200
50.0,1030,1.0,10950
54.0,1105,1.0,10950
49.0,1030,1.0,10750
53.0,1075,0.0,10895
47.0,1119,1.0,11500
48.0,1075,1.0,9750
55.0,1040,1.0,10250
49.0,1030,0.0,12500
54.0,1035,1.0,11950
50.0,1060,1.0,10750
46.0,1035,1.0,11450
54.0,1080,1.0,11950
48.0,1055,1.0,11750
55.0,1080,1.0,11950
49.0,1105,0.0,10995
56.0,1025,0.0,11450
49.0,1075,1.0,8900
50.0,1075,0.0,10500
47.0,1075,1.0,11750
49.0,1030,1.0,11450
55.67215568862275,1055,0.0,12000
53.0,1025,1.0,9850
55.67215568862275,1035,1.0,10950
55.67215568862275,1080,0.0,10950
55.67215568862275,1105,1.0,8695
53.0,1040,0.0,10990
55.0,1025,1.0,9500
49.0,1025,0.0,11950
46.0,1065,0.0,10750
49.0,1030,1.0,8750
46.0,1025,0.0,9950
56.0,1090,0.0,11950
52.0,1080,1.0,13950
54.0,1090,1.0,11250
50.0,1060,1.0,10900
56.0,1025,1.0,9750
52.0,1025,1.0,9950
56.0,1075,1.0,11950
48.0,1040,1.0,10450
54.0,1025,1.0,8950
54.0,1075,1.0,10250
53.0,1035,1.0,9930
54.0,1050,1.0,10500
54.0,1035,1.0,11950
55.67215568862275,1035,0.0,11500
54.0,1080,0.0,11450
56.0,1050,0.0,9900
54.0,1025,0.0,9500
50.0,1060,1.0,10500
50.0,1075,1.0,10750
56.0,1050,1.0,12000
53.0,1105,1.0,9940
47.0,1030,0.0,10950
54.0,1075,1.0,10750
51.0,1025,1.0,9799
51.0,1060,0.0,11750
54.0,1035,1.0,11950
52.0,1045,1.0,11250
54.0,1075,0.0,11750
55.0,1050,1.0,10950
56.0,1080,1.0,11250
53.0,1025,1.0,9950
51.0,1080,0.0,9700
47.0,1105,1.0,11950
53.0,1040,0.0,9900
55.67215568862275,1045,0.0,9990
48.0,1025,1.0,9475
54.0,1075,1.0,11500
53.0,1035,1.0,11950
55.0,1060,1.0,11500
50.0,1075,0.0,10500
46.0,1060,1.0,10900
52.0,1060,1.0,11700
51.0,1080,1.0,11900
51.0,1080,1.0,13950
49.0,1025,1.0,10950
56.0,1025,0.0,10500
55.0,1085,1.0,10750
55.0,1070,1.0,11950
56.0,1025,0.0,10000
48.0,1060,1.0,10495
50.0,1080,0.0,11450
54.0,1025,1.0,9400
51.0,1045,1.0,11950
53.0,1075,0.0,9650
51.0,1055,0.0,11450
52.0,1050,1.0,10250
55.67215568862275,1045,1.0,11450
54.0,1025,1.0,9950
56.0,1055,1.0,10500
55.67215568862275,1080,1.0,13750
48.0,1025,0.0,9950
54.0,1030,1.0,10250
54.0,1055,1.0,10850
52.0,1075,0.0,11895
53.0,1055,1.0,12950
50.0,1080,1.0,11950
56.0,1070,1.0,10750
54.0,1060,0.0,9550
56.0,1035,0.0,10950
55.67215568862275,1035,1.0,11750
47.0,1075,0.0,10950
54.0,1055,1.0,12450
52.0,1030,1.0,10500
50.0,1025,0.0,10900
50.0,1075,1.0,12950
47.0,1060,0.0,10950
56.0,1080,1.0,12500
55.0,1025,0.0,9950
56.0,1025,1.0,10750
48.0,1030,1.0,12500
49.0,1040,0.0,10450
52.0,1025,1.0,10750
49.0,1105,1.0,12950
55.67215568862275,1060,0.0,10995
50.0,1060,1.0,11250
47.0,1090,1.0,11950
54.0,1045,0.0,13750
47.0,1080,0.0,11000
50.0,1080,1.0,13500
54.0,1040,1.0,10950
54.0,1025,0.0,10750
47.0,1025,1.0,8950
51.0,1055,0.0,12950
56.0,1025,0.0,9750
54.0,1025,1.0,10900
55.0,1035,1.0,10995
48.0,1065,1.0,10750
52.0,1075,1.0,10950
55.67215568862275,1080,0.0,13000
52.0,1075,0.0,11500
55.67215568862275,1025,0.0,10950
48.0,1055,0.0,11710
49.0,1025,1.0,9980
51.0,1075,1.0,12250
46.0,1075,1.0,11500
56.0,1080,0.0,11950
55.0,1050,0.0,11500
46.0,1080,1.0,11900
49.0,1030,0.0,11930
55.67215568862275,1025,0.0,10500
56.0,1025,0.0,8950
46.0,1060,1.0,10450
55.0,1050,1.0,10500
55.67215568862275,1025,1.0,9950
52.0,1055,1.0,12900
48.0,1085,0.0,9950
55.0,1025,1.0,9950
48.0,1040,1.0,10950
53.0,1060,0.0,10950
47.0,1025,1.0,9950
50.0,1060,1.0,10950
50.0,1025,1.0,10800
56.0,1025,0.0,10500
50.0,1030,1.0,10450
51.0,1025,1.0,10600
48.0,1025,1.0,10450
50.0,1065,0.0,12950
52.0,1025,1.0,8950
68.0,1000,0.0,5950
68.0,1015,1.0,6950
67.0,1050,1.0,7950
64.0,1065,1.0,8250
64.0,1065,1.0,8450
68.0,1085,1.0,8950
59.0,1078,1.0,8950
61.0,1065,0.0,8750
67.0,1120,1.0,7950
60.0,1050,0.0,7750
66.0,1085,1.0,9450
59.0,1050,0.0,7995
64.0,1090,0.0,10450
68.0,1055,0.0,9950
68.0,1070,1.0,8950
68.0,1035,1.0,7950
57.0,1065,0.0,10950
65.0,1015,0.0,7250
64.0,1045,0.0,8000
58.0,1070,0.0,9950
60.0,1079,1.0,9450
68.0,1055,1.0,7950
63.0,1109,0.0,9450
64.0,1075,1.0,9950
59.0,1065,1.0,8250
67.0,1020,1.0,9950
59.0,1040,1.0,8250
68.0,1070,1.0,9950
66.0,1065,1.0,10500
65.0,1065,0.0,9750
61.0,1070,1.0,9250
68.0,1050,1.0,9500
62.0,1075,1.0,9950
63.0,1050,0.0,7750
68.0,1075,0.0,9500
67.0,1035,1.0,9950
58.0,1040,0.0,9750
59.0,1015,1.0,5950
55.67215568862275,1040,0.0,8500
68.0,1085,1.0,8495
67.0,1020,0.0,9250
55.67215568862275,1015,1.0,6900
58.0,1025,1.0,8950
55.67215568862275,1075,1.0,9500
63.0,1055,0.0,9250
68.0,1090,0.0,9895
61.0,1050,0.0,7950
68.0,1075,1.0,8750
63.0,1065,1.0,8950
68.0,1075,0.0,8950
61.0,1070,1.0,8950
65.0,1075,1.0,8950
67.0,1085,1.0,9450
59.0,1020,1.0,8950
65.0,1075,1.0,9250
64.0,1000,0.0,8750
61.0,1065,1.0,9950
55.67215568862275,1075,1.0,9950
65.0,1015,0.0,9900
66.0,1000,1.0,8950
67.0,1050,1.0,8950
67.0,1070,1.0,9250
61.0,1050,1.0,10250
55.67215568862275,1050,0.0,8950
65.0,1050,1.0,7999
66.0,1065,0.0,9900
63.0,1000,1.0,8250
65.0,1075,1.0,10500
65.0,1015,0.0,8450
68.0,1090,1.0,9900
62.0,1075,1.0,10500
61.0,1050,1.0,9500
65.0,1065,0.0,9450
55.67215568862275,1050,1.0,8250
55.67215568862275,1015,1.0,8750
58.0,1075,1.0,9500
68.0,1050,0.0,8450
62.0,1050,0.0,8490
60.0,1035,0.0,8750
64.0,1025,1.0,9750
63.0,1085,1.0,9950
68.0,1050,0.0,8500
63.0,1070,0.0,8450
62.0,1040,1.0,7900
57.0,1050,1.0,8750
61.0,1015,0.0,7950
62.0,1020,0.0,6900
65.0,1015,1.0,8150
59.0,1050,1.0,8900
59.0,1040,1.0,9500
68.0,1035,1.0,8950
65.0,1065,1.0,11500
62.0,1050,1.0,10450
60.0,1025,1.0,10500
68.0,1035,1.0,9250
65.0,1120,1.0,10950
62.0,1075,1.0,10450
68.0,1075,1.0,9250
62.0,1070,1.0,8750
67.0,1015,0.0,8750
64.0,1015,0.0,8250
62.0,1065,1.0,10450
58.0,1050,0.0,9750
61.0,1055,1.0,8950
65.0,1015,1.0,7450
68.0,1035,1.0,8450
55.67215568862275,1050,0.0,8250
65.0,1065,1.0,10950
61.0,1040,1.0,8950
66.0,1015,0.0,8750
61.0,1075,1.0,10450
57.0,1085,0.0,10950
65.0,1035,1.0,8450
59.0,1065,1.0,9950
55.67215568862275,1055,1.0,9950
62.0,1015,0.0,8750
65.0,1070,0.0,9950
68.0,1070,0.0,9500
65.0,1035,1.0,8250
62.0,1075,1.0,10950
60.0,1015,0.0,7950
65.0,1015,1.0,8250
67.0,1040,1.0,9895
67.0,1015,1.0,9130
60.0,1075,1.0,10500
61.0,1050,1.0,8900
57.0,1045,1.0,9500
68.0,1015,0.0,7950
64.0,1015,1.0,7950
65.0,1015,1.0,7950
55.67215568862275,1075,1.0,10950
68.0,1035,1.0,9750
65.0,1050,1.0,9750
63.0,1055,1.0,9450
68.0,1015,1.0,8950
68.0,1015,1.0,8950
66.0,1070,1.0,8900
61.0,1035,1.0,9950
67.0,1020,1.0,8750
59.0,1075,1.0,8950
65.0,1035,1.0,8990
61.0,1015,1.0,8950
55.67215568862275,1065,1.0,9950
68.0,1075,1.0,9900
65.0,1015,0.0,8950
62.0,1070,1.0,8950
68.0,1015,1.0,7950
55.67215568862275,1070,0.0,7750
63.0,1075,1.0,8950
60.0,1085,1.0,11950
62.0,1075,0.0,8950
60.0,1035,0.0,11950
68.0,1050,0.0,8950
64.0,1050,1.0,9950
65.0,1050,1.0,8250
67.0,1050,1.0,8995
61.0,1065,1.0,9995
64.0,1050,1.0,9250
64.0,1070,0.0,10950
55.67215568862275,1015,1.0,8900
55.67215568862275,1075,1.0,9500
58.0,1075,1.0,9950
67.0,1015,1.0,7950
63.0,1050,1.0,8250
64.0,1015,1.0,9450
57.0,1015,0.0,7950
59.0,1065,0.0,9500
65.0,1050,1.0,8950
62.0,1070,0.0,10950
60.0,1050,0.0,8950
63.0,1035,0.0,9450
58.0,1050,1.0,8000
67.0,1075,0.0,9900
62.0,1035,1.0,8950
59.0,1050,1.0,9450
64.0,1035,1.0,8450
65.0,1075,1.0,9500
68.0,1015,1.0,6950
68.0,1035,0.0,9750
58.0,1035,1.0,6950
67.0,1065,1.0,9650
68.0,1065,1.0,9950
58.0,1025,0.0,9250
63.0,1070,1.0,8950
63.0,1050,0.0,9900
63.0,1085,1.0,10995
65.0,1075,0.0,10500
65.0,1015,1.0,8950
67.0,1065,1.0,9750
68.0,1075,1.0,10950
67.0,1035,1.0,9750
59.0,1065,1.0,9950
65.0,1035,1.0,10500
68.0,1010,0.0,8800
61.0,1065,1.0,10500
62.0,1070,1.0,9250
65.0,1015,1.0,7800
61.0,1050,0.0,9950
63.0,1065,1.0,10750
67.0,1075,1.0,10950
59.0,1070,1.0,9950
55.67215568862275,1000,1.0,8100
60.0,1050,1.0,9250
64.0,1050,1.0,7800
68.0,1070,0.0,9000
57.0,1035,0.0,8950
62.0,1020,1.0,8950
68.0,1075,1.0,9950
60.0,1070,1.0,8500
62.0,1075,1.0,7995
65.0,1050,1.0,8750
63.0,1020,0.0,9750
65.0,1070,0.0,10950
67.0,1085,1.0,9750
60.0,1015,1.0,8200
68.0,1075,1.0,8950
66.0,1015,0.0,9500
65.0,1050,0.0,9850
62.0,1075,1.0,9450
67.0,1050,1.0,10295
68.0,1065,1.0,9750
65.0,1050,1.0,8950
68.0,1075,0.0,9900
66.0,1035,1.0,8750
58.0,1075,1.0,9950
60.0,1015,1.0,8500
62.0,1035,1.0,9950
57.0,1050,0.0,10950
68.0,1035,1.0,9795
68.0,1035,1.0,8750
65.0,1050,1.0,8250
58.0,1075,1.0,9950
62.0,1075,0.0,9950
59.0,1050,1.0,10500
62.0,1040,1.0,9750
61.0,1090,1.0,11250
59.0,1050,1.0,8900
60.0,1015,1.0,7950
68.0,1075,1.0,11500
57.0,1050,1.0,9450
65.0,1015,1.0,7995
59.0,1045,1.0,10995
61.0,1050,1.0,8950
66.0,1015,1.0,8950
65.0,1015,1.0,8950
62.0,1035,0.0,9500
65.0,1015,0.0,7500
63.0,1050,0.0,8950
63.0,1035,1.0,9950
65.0,1075,0.0,9750
61.0,1070,1.0,9450
65.0,1050,0.0,9950
68.0,1055,1.0,9750
65.0,1050,0.0,8950
66.0,1070,1.0,8250
65.0,1015,1.0,7750
60.0,1050,1.0,8950
64.0,1075,1.0,9950
67.0,1065,1.0,12950
58.0,1050,1.0,9950
62.0,1065,1.0,10495
68.0,1035,1.0,7950
65.0,1075,1.0,8950
62.0,1075,1.0,9900
61.0,1065,1.0,9995
63.0,1065,1.0,9950
63.0,1050,1.0,9950
67.0,1050,0.0,8250
63.0,1035,1.0,9950
59.0,1015,0.0,8950
67.0,1000,0.0,9250
63.0,1070,1.0,9950
57.0,1045,1.0,9995
61.0,1020,0.0,8750
58.0,1045,0.0,10950
65.0,1070,1.0,9950
65.0,1015,1.0,8950
57.0,1075,0.0,10950
63.0,1075,1.0,10950
68.0,1070,1.0,8950
67.0,1050,0.0,8900
60.0,1065,1.0,10250
61.0,1035,1.0,9450
61.0,1055,1.0,9250
57.0,1075,1.0,10500
58.0,1035,0.0,7350
57.0,1135,1.0,10250
62.0,1075,1.0,10250
65.0,1075,1.0,11500
55.67215568862275,1015,0.0,7750
64.0,1050,1.0,9500
67.0,1015,1.0,8450
57.0,1050,0.0,8950
60.0,1035,1.0,8400
66.0,1015,0.0,9250
61.0,1035,1.0,8900
58.0,1050,0.0,8750
61.0,1000,1.0,8950
65.0,1015,1.0,8950
61.0,1070,1.0,8895
59.0,1070,1.0,8750
61.0,1075,1.0,9750
62.0,1075,1.0,9950
65.0,1065,0.0,10950
67.0,1085,0.0,9900
62.0,1035,1.0,9500
61.0,1050,0.0,9950
63.0,1055,0.0,9950
62.0,1040,1.0,10500
63.0,1015,0.0,9950
68.0,1035,1.0,10495
55.67215568862275,1050,0.0,9500
58.0,1015,1.0,8500
60.0,1035,0.0,10450
65.0,1015,1.0,8950
59.0,1025,1.0,9900
55.67215568862275,1035,0.0,8900
65.0,1050,0.0,8745
65.0,1015,1.0,8750
57.0,1050,1.0,10750
57.0,1050,1.0,9750
65.0,1075,0.0,8850
66.0,1035,1.0,7950
63.0,1035,1.0,9450
63.0,1035,1.0,8250
61.0,1015,1.0,9950
55.67215568862275,1015,0.0,9995
59.0,1070,0.0,9950
60.0,1070,1.0,10495
68.0,1035,1.0,8950
57.0,1075,0.0,9695
64.0,1015,1.0,7750
68.0,1050,1.0,9950
67.0,1075,1.0,9950
63.0,1114,1.0,9950
64.0,1070,1.0,9900
57.0,1025,0.0,10950
60.0,1000,1.0,8950
66.0,1050,1.0,8250
62.0,1075,1.0,10250
61.0,1070,1.0,8750
55.67215568862275,1070,1.0,9750
61.0,1085,0.0,10950
60.0,1050,1.0,10950
62.0,1015,0.0,9750
59.0,1050,1.0,8900
60.0,1070,0.0,9500
63.0,1050,0.0,9950
66.0,1050,0.0,9950
65.0,1015,1.0,8250
65.0,1065,1.0,10450
62.0,1065,1.0,10950
65.0,1015,1.0,9250
68.0,1050,1.0,8900
57.0,1045,1.0,10900
64.0,1050,0.0,9750
58.0,1075,0.0,11950
68.0,1000,1.0,7900
57.0,1035,0.0,10900
65.0,1050,0.0,10450
59.0,1085,1.0,10950
65.0,1015,1.0,9950
55.67215568862275,1065,1.0,10750
57.0,1070,1.0,9900
68.0,1035,1.0,10750
58.0,1075,1.0,10450
68.0,1000,1.0,9450
60.0,1075,0.0,10950
57.0,1015,1.0,10000
68.0,1055,0.0,10500
62.0,1035,1.0,8950
58.0,1075,1.0,10500
66.0,1050,1.0,9245
59.0,1075,1.0,10950
55.67215568862275,1015,1.0,9500
62.0,1050,1.0,10900
66.0,1035,0.0,9450
79.0,1114,1.0,5250
73.0,1075,1.0,5950
78.0,1035,0.0,6500
71.0,1050,1.0,7950
78.0,1015,1.0,5800
80.0,1015,0.0,6750
74.0,1050,0.0,5740
73.0,1015,0.0,6550
73.0,1035,1.0,6750
78.0,1050,0.0,7950
71.0,1094,1.0,6450
75.0,1015,0.0,5600
77.0,1035,0.0,5950
55.67215568862275,1050,0.0,8950
73.0,1070,1.0,7750
77.0,1050,1.0,6950
74.0,1050,1.0,7250
78.0,1015,1.0,6500
77.0,1070,1.0,7250
80.0,1070,1.0,9250
73.0,1050,1.0,8250
72.0,1035,1.0,5250
77.0,1050,1.0,7900
76.0,1050,0.0,6900
75.0,1050,0.0,7900
70.0,1050,1.0,8450
55.67215568862275,1075,1.0,7950
74.0,1050,1.0,7950
72.0,1050,1.0,6450
75.0,1070,1.0,6650
74.0,1015,1.0,7950
80.0,1040,0.0,7250
77.0,1050,0.0,7450
74.0,1035,1.0,7950
55.67215568862275,1070,1.0,7250
74.0,1050,1.0,7750
71.0,1085,0.0,8500
78.0,1075,0.0,7750
73.0,1035,0.0,5750
76.0,1070,1.0,6900
55.67215568862275,1050,1.0,6500
77.0,1050,1.0,7600
74.0,1070,1.0,7450
72.0,1015,1.0,7350
73.0,1015,1.0,7750
80.0,1083,0.0,7460
76.0,1085,1.0,9250
80.0,1055,1.0,7250
72.0,1015,1.0,6500
80.0,1035,1.0,6800
75.0,1085,0.0,8700
55.67215568862275,1070,0.0,7500
71.0,1050,1.0,7750
73.0,1050,1.0,7950
75.0,1050,1.0,9950
74.0,1070,0.0,6640
71.0,1015,0.0,8750
72.0,1050,1.0,7750
72.0,1015,0.0,5950
77.0,1015,0.0,6750
80.0,1050,1.0,6500
76.0,1050,1.0,8750
74.0,1050,1.0,7950
74.0,1010,1.0,6750
73.0,1035,1.0,7950
80.0,1015,1.0,7950
77.0,1015,1.0,7750
75.0,1070,1.0,6450
74.0,1050,0.0,6900
75.0,1085,1.0,8450
74.0,1015,0.0,6750
79.0,1070,0.0,9500
78.0,1035,0.0,7750
80.0,1085,0.0,8500
75.0,1050,1.0,7795
80.0,1050,1.0,6490
73.0,1050,1.0,7950
79.0,1035,0.0,6425
69.0,1035,1.0,8950
72.0,1114,1.0,6950
79.0,1085,0.0,8750
71.0,1050,1.0,8450
77.0,1065,1.0,7950
80.0,1035,0.0,7950
78.0,1070,1.0,8900
73.0,1085,1.0,8950
73.0,1085,1.0,8900
69.0,1035,0.0,7950
74.0,1015,1.0,6495
78.0,1015,1.0,7250
55.67215568862275,1085,1.0,9250
78.0,1070,1.0,6650
79.0,1085,0.0,6990
78.0,1070,1.0,7750
79.0,1035,1.0,6950
80.0,1050,0.0,7250
55.67215568862275,1085,1.0,9950
55.67215568862275,1070,0.0,9250
79.0,1035,1.0,7200
72.0,1075,1.0,8250
79.0,1050,1.0,8950
77.0,1075,1.0,8250
80.0,1015,1.0,6250
80.0,1035,1.0,7300
72.0,1020,1.0,8950
70.0,1015,1.0,6500
78.0,1070,1.0,7950
75.0,1050,1.0,7450
71.0,1035,1.0,7950
78.0,1035,1.0,8500
77.0,1015,1.0,6950
77.0,1015,1.0,6750
70.0,1055,0.0,8450
78.0,1114,0.0,7500
79.0,1035,1.0,8750
76.0,1050,1.0,8950
55.67215568862275,1015,0.0,7450
69.0,1085,1.0,9200
74.0,1050,1.0,8950
72.0,1075,1.0,7850
75.0,1050,1.0,7200
78.0,1055,0.0,7450
75.0,1015,0.0,6750
73.0,1050,1.0,7500
55.67215568862275,1035,0.0,7450
70.0,1035,1.0,7950
78.0,1035,1.0,7250
55.67215568862275,1015,1.0,7950
80.0,1015,1.0,8250
72.0,1075,0.0,8250
80.0,1055,1.0,6750
79.0,1040,1.0,8750
80.0,1050,0.0,8950
80.0,1070,0.0,8250
73.0,1050,1.0,7950
70.0,1055,1.0,7900
73.0,1050,1.0,8500
79.0,1070,0.0,8250
76.0,1070,1.0,8250
73.0,1035,1.0,8950
74.0,1050,0.0,7950
55.67215568862275,1075,0.0,6950
78.0,1065,1.0,7250
77.0,1085,1.0,7750
75.0,1055,1.0,8700
55.67215568862275,1070,1.0,8950
76.0,1070,1.0,6750
71.0,1070,1.0,7500
69.0,1015,0.0,7950
71.0,1050,0.0,7950
55.67215568862275,1015,0.0,7450
78.0,1015,1.0,5950
75.0,1050,1.0,7750
77.0,1015,1.0,6950
80.0,1035,1.0,8750
71.0,1075,1.0,8950
79.0,1070,1.0,7495
76.0,1070,1.0,7750
70.0,1050,0.0,6950
77.0,1070,1.0,7990
78.0,1065,1.0,7250
69.0,1015,0.0,6900
74.0,1070,0.0,7750
55.67215568862275,1035,0.0,7250
77.0,1015,0.0,8950
71.0,1050,0.0,8500
72.0,1075,1.0,7950
77.0,1015,1.0,6950
55.67215568862275,1050,0.0,8000
75.0,1055,1.0,7950
76.0,1015,1.0,8500
73.0,1015,1.0,7490
80.0,1050,1.0,8250
71.0,1070,1.0,9250
72.0,1035,0.0,7950
77.0,1050,1.0,9500
72.0,1114,1.0,8950
78.0,1050,1.0,8450
